name,email,roleId,assignedRegion,createdAt
AUTH_001,Anil Kumar,anil.kumar@up.gov.in,DISTRICT_MAGISTRATE,Lucknow,2025-02-10T03:29:59Z
Sunita Sharmasunita.sharma@up.gov.in,DEPARTMENT_HEAD,Varanasi,2025-02-10T03:29:59Z
Rajesh Vermarajesh.verma@up.gov.in,PANCHAYAT_HEAD,Meerut,2025-02-10T03:29:59Z
Meera Singhmeera.singh@up.gov.in,GRAM_PANCHAYAT_HEAD,Agra,2025-02-10T03:29:59Z
Vikram Patl,vikram.patel@up.gov.in,NAGAR_SEVAK,Kanpur,2025-02-10T03:29:59Z
Alok Yada,alok.yadav@up.gov.in,STATE_LEVEL_OFFICER,Allahabad,2025-02-10T03:29:59Z
Anil Kumar,anil.kumar@up.gov.in,DISTRICT_MAGISTRATE,Lucknow,2025-02-10T03:29:59Z
Sunita Sharma,sunita.sharma@up.gov.in,DEPARTMENT_HEAD,Varanasi,2025-02-10T03:29:59Z
Rajesh Verma,rajesh.verma@up.gov.in,PANCHAYAT_HEAD,Meerut,2025-02-10T03:29:59Z
Meera Singh,meera.singh@up.gov.in,GRAM_PANCHAYAT_HEAD,Agra,2025-02-10T03:29:59Z
Vikram Patel,vikram.patel@up.gov.in,NAGAR_SEVAK,Kanpur,2025-02-10T03:29:59Z
Alok Yadav,alok.yadav@up.gov.in,STATE_LEVEL_OFFICER,Allahabad,2025-02-10T03:29:59Z
Priya Gupta,priya.gupta@up.gov.in,DISTRICT_MAGISTRATE,Gorakhpur,2025-02-10T03:29:59Z
Suresh Chandra,suresh.chandra@up.gov.in,DEPARTMENT_HEAD,Noida,2025-02-10T03:29:59Z
Anita Desai,anita.desai@up.gov.in,PANCHAYAT_HEAD,Aligarh,2025-02-10T03:29:59Z
Ravi Shankar,ravi.shankar@up.gov.in,GRAM_PANCHAYAT_HEAD,Mathura,2025-02-10T03:29:59Z
Kiran Rao,kiran.rao@up.gov.in,NAGAR_SEVAK,Faizabad,2025-02-10T03:29:59Z
Manoj Tiwari,manoj.tiwari@up.gov.in,STATE_LEVEL_OFFICER,Bareilly,2025-02-10T03:29:59Z
Deepa Joshi,deepa.joshi@up.gov.in,DISTRICT_MAGISTRATE,Saharanpur,2025-02-10T03:29:59Z
Amitabh Bachchan,amitabh.bachchan@up.gov.in,DEPARTMENT_HEAD,Mirzapur,2025-02-10T03:29:59Z
Neha Dubey,neha.dubey@up.gov.in,PANCHAYAT_HEAD,Raebareli,2025-02-10T03:29:59Z
Sanjay Singh,sanjay.singh@up.gov.in,GRAM_PANCHAYAT_HEAD,Sitapur,2025-02-10T03:29:59Z
Pooja Bhatt,pooja.bhatt@up.gov.in,NAGAR_SEVAK,Unnao,2025-02-10T03:29:59Z
Arjun Kapoor,arjun.kapoor@up.gov.in,STATE_LEVEL_OFFICER,Jhansi,2025-02-10T03:29:59Z
Radhika Apte,radhika.apte@up.gov.in,DISTRICT_MAGISTRATE,Ghaziabad,2025-02-10T03:29:59Z
Naveen Kumar,naveen.kumar@up.gov.in,DEPARTMENT_HEAD,Muzaffarnagar,2025-02-10T03:29:59Z
Swati Singh,swati.singh@up.gov.in,PANCHAYAT_HEAD,Gonda,2025-02-10T03:29:59Z
Rakesh Roshan,rakesh.roshan@up.gov.in,GRAM_PANCHAYAT_HEAD,Etawah,2025-02-10T03:29:59Z
Kajal Aggarwal,kajal.aggarwal@up.gov.in,NAGAR_SEVAK,Firozabad,2025-02-10T03:29:59Z
Abhishek Verma,abhishek.verma@up.gov.in,STATE_LEVEL_OFFICER,Shahjahanpur,2025-02-10T03:29:59Z
Sonal Chauhan,sonal.chauhan@up.gov.in,DISTRICT_MAGISTRATE,Barabanki,2025-02-10T03:29:59Z
Vivek Oberoi,vivek.oberoi@up.gov.in,DEPARTMENT_HEAD,Azamgarh,2025-02-10T03:29:59Z
Anjali Menon,anjali.menon@up.gov.in,PANCHAYAT_HEAD,Basti,2025-02-10T03:29:59Z
Karthik Aryan,karthik.aryan@up.gov.in,GRAM_PANCHAYAT_HEAD,Bijnor,2025-02-10T03:29:59Z
Shruti Haasan,shruti.haasan@up.gov.in,NAGAR_SEVAK,Amroha,2025-02-10T03:29:59Z
Rohit Shetty,rohit.shetty@up.gov.in,STATE_LEVEL_OFFICER,Hardoi,2025-02-10T03:29:59Z
Aishwarya Rai,aishwarya.rai@up.gov.in,DISTRICT_MAGISTRATE,Moradabad,2025-02-10T03:29:59Z
Ajay Devgn,ajay.devgn@up.gov.in,DEPARTMENT_HEAD,Sultanpur,2025-02-10T03:29:59Z
Kangana Ranaut,kangana.ranaut@up.gov.in,PANCHAYAT_HEAD,Deoria,2025-02-10T03:29:59Z
Ranbir Kapoor,ranbir.kapoor@up.gov.in,GRAM_PANCHAYAT_HEAD,Jaunpur,2025-02-10T03:29:59Z
Alia Bhatt,alia.bhatt@up.gov.in,NAGAR_SEVAK,Lakhimpur,2025-02-10T03:29:59Z
Shahid Kapoor,shahid.kapoor@up.gov.in,STATE_LEVEL_OFFICER,Hathras,2025-02-10T03:29:59Z
Deepika Padukone,deepika.padukone@up.gov.in,DISTRICT_MAGISTRATE,Ballia,2025-02-10T03:29:59Z
Salman Khan,salman.khan@up.gov.in,DEPARTMENT_HEAD,Mau,2025-02-10T03:29:59Z
Kareena Kapoor,kareena.kapoor@up.gov.in,PANCHAYAT_HEAD,Auraiya,2025-02-10T03:29:59Z
